# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -1.934045 1.0527 4.380675 4.870397 17.603026 17.8887 28.0003 1.10250 0.000000 1.25003
250 1.2500 -3.943371 1.0926 0.071499 0.076177 0.075312 17.9304 28.0632 0.96158 0.000000 1.25586
500 2.5000 -3.989852 1.0276 -0.086269 -0.154947 -0.085776 17.9186 28.0400 1.03983 0.000000 1.25420
750 3.7500 -4.078442 1.0042 -0.210887 -0.374747 -0.321002 17.8846 27.9786 1.09265 0.000000 1.24945
1000 5.0000 -4.086387 1.0198 -0.267535 0.064157 -0.113260 17.8528 27.9144 1.08903 0.000000 1.24501
1250 6.2500 -4.130232 1.0231 -0.247433 -0.190549 -0.531375 17.8425 27.8673 1.15801 0.000000 1.24358
1500 7.5000 -4.116012 1.0235 -0.062479 0.114145 -0.090388 17.8290 27.8213 1.13829 0.000000 1.24170
1750 8.7500 -4.155304 1.0236 -0.097866 -0.170296 -0.244178 17.8213 27.7769 1.09808 0.000000 1.24062
2000 10.0000 -4.161686 1.0278 0.006725 -0.090009 -0.247045 17.8222 27.7355 0.95533 0.000000 1.24074
2250 11.2500 -4.210669 1.0190 -0.175958 -0.114057 -0.279705 17.8109 27.6802 1.08264 0.000000 1.23917
2500 12.5000 -4.212577 1.0115 0.080951 0.025782 -0.185118 17.8055 27.6372 1.19167 0.000000 1.23843
2750 13.7500 -4.180218 1.0120 0.220709 0.127269 -0.005307 17.8158 27.6144 1.14401 0.000000 1.23985
3000 15.0000 -4.188168 1.0194 -0.065370 -0.067238 0.006364 17.8154 27.5875 1.21457 0.000000 1.23980
3250 16.2500 -4.216096 1.0057 -0.145501 0.050804 -0.120180 17.8098 27.5522 1.31770 0.000000 1.23902
3500 17.5000 -4.201005 1.0109 0.097481 -0.044208 -0.095676 17.8146 27.5261 1.38242 0.000000 1.23969
3750 18.7500 -4.216454 1.0156 -0.030886 0.061875 0.012210 17.8229 27.4998 1.32563 0.000000 1.24085
4000 20.0000 -4.206999 1.0072 0.133373 0.098350 -0.270664 17.8232 27.4847 1.27100 0.000000 1.24088
4250 21.2500 -4.340872 1.0262 -0.280726 -0.207022 -0.421471 17.7905 27.4184 1.25919 0.000000 1.23634
4500 22.5000 -4.392195 0.9997 -0.288886 -0.261323 -0.457784 17.7576 27.3517 1.29262 0.000000 1.23176
4750 23.7500 -4.421116 1.0052 -0.230565 -0.144023 -0.080003 17.7310 27.2914 1.22002 0.000000 1.22808
5000 25.0000 -4.464448 1.0144 -0.235296 -0.176763 -0.499825 17.7174 27.2435 1.32630 0.000000 1.22620
5250 26.2500 -4.465227 1.0113 -0.113692 -0.039945 -0.342874 17.7067 27.1932 1.24942 0.000000 1.22471
5500 27.5000 -4.484919 1.0041 -0.002038 -0.026624 -0.230901 17.7002 27.1492 1.14577 0.000000 1.22381
5750 28.7500 -4.534615 1.0178 -0.130568 -0.265911 -0.396445 17.6974 27.1097 1.28400 0.000000 1.22343
6000 30.0000 -4.530587 0.9968 -0.000480 0.006553 -0.292043 17.6943 27.0614 1.13319 0.000000 1.22300
6250 31.2500 -4.551326 1.0008 -0.095749 -0.056169 0.014378 17.6876 27.0252 1.16240 0.000000 1.22208
6500 32.5000 -4.576762 1.0028 0.104915 -0.125029 0.053024 17.6867 26.9876 1.14694 0.000000 1.22195
6750 33.7500 -4.579118 0.9837 0.096004 -0.079392 -0.282797 17.6856 26.9488 1.04819 0.000000 1.22180
7000 35.0000 -4.563529 0.9882 0.139267 0.059038 -0.121812 17.6879 26.9284 1.05012 0.000000 1.22211
7250 36.2500 -4.598782 0.9985 -0.154550 -0.171400 -0.047122 17.7003 26.8955 1.10375 0.000000 1.22383
7500 37.5000 -4.576158 1.0001 0.113551 -0.067196 -0.108858 17.7062 26.8755 0.97712 0.000000 1.22465
7750 38.7500 -4.579617 0.9973 0.019736 -0.023069 -0.089316 17.7169 26.8588 0.89799 0.000000 1.22613
8000 40.0000 -4.568278 1.0086 0.183456 0.309018 -0.040736 17.7244 26.8308 0.91426 0.000000 1.22716
8250 41.2500 -4.544627 1.0138 0.246902 0.019891 -0.093349 17.7436 26.8163 1.07974 0.000000 1.22983
8500 42.5000 -4.563717 0.9839 0.055750 0.086672 -0.164164 17.7541 26.7985 0.99926 0.000000 1.23128
8750 43.7500 -4.562591 0.9897 0.064335 0.020837 -0.172607 17.7589 26.7720 0.98483 0.000000 1.23194
9000 45.0000 -4.593218 1.0006 -0.074461 -0.064488 -0.455547 17.7573 26.7418 1.04177 0.000000 1.23172
9250 46.2500 -4.578295 1.0029 0.021420 0.088547 -0.020812 17.7536 26.7097 1.03141 0.000000 1.23121
9500 47.5000 -4.592033 1.0080 0.051864 0.029216 0.142996 17.7665 26.6848 0.96041 0.000000 1.23300
9750 48.7500 -4.603666 1.0027 -0.076739 0.060862 -0.030776 17.7721 26.6713 0.97679 0.000000 1.23378
10000 50.0000 -4.607279 0.9941 0.038327 0.104817 -0.251357 17.7725 26.6454 0.98127 0.000000 1.23384
10250 51.2500 -4.603080 1.0045 0.002133 0.130575 -0.141937 17.7770 26.6172 0.99224 0.000000 1.23446
10500 52.5000 -4.610716 1.0010 -0.000226 0.078774 -0.067768 17.7794 26.5938 0.96499 0.000000 1.23479
10750 53.7500 -4.597090 0.9993 0.114104 0.229488 -0.156645 17.7847 26.5739 0.94657 0.000000 1.23553
11000 55.0000 -4.583366 0.9762 0.060281 0.169755 -0.129344 17.7986 26.5626 1.05144 0.000000 1.23747
11250 56.2500 -4.602374 1.0027 0.047930 0.095730 -0.301678 17.8112 26.5407 0.94322 0.000000 1.23922
11500 57.5000 -4.589137 0.9785 0.069202 0.029198 -0.100356 17.8161 26.5040 0.92381 0.000000 1.23990
11750 58.7500 -4.607852 0.9936 0.080330 0.039973 -0.044193 17.8211 26.4868 0.89918 0.000000 1.24059
12000 60.0000 -4.605529 0.9813 0.126349 0.019863 -0.119084 17.8247 26.4746 0.93595 0.000000 1.24109
12250 61.2500 -4.607704 0.9923 0.033642 0.098162 -0.291470 17.8227 26.4594 0.86377 0.000000 1.24081
12500 62.5000 -4.594474 1.0100 0.174879 0.109284 -0.023633 17.8366 26.4509 0.99049 0.000000 1.24275
12750 63.7500 -4.608260 1.0032 0.011199 0.044858 -0.066625 17.8462 26.4340 0.92728 0.000000 1.24408
13000 65.0000 -4.632114 1.0093 -0.181227 0.021525 -0.239609 17.8450 26.4232 0.89678 0.000000 1.24392
13250 66.2500 -4.605898 1.0053 0.095104 0.073053 0.033999 17.8561 26.4053 0.92501 0.000000 1.24546
13500 67.5000 -4.615084 0.9909 0.116897 -0.077398 -0.049476 17.8582 26.3848 0.91190 0.000000 1.24576
13750 68.7500 -4.608419 1.0057 0.177833 -0.101151 0.063253 17.8583 26.3623 0.87955 0.000000 1.24577
14000 70.0000 -4.599593 0.9961 0.134455 -0.095841 -0.056649 17.8671 26.3605 0.89720 0.000000 1.24701
14250 71.2500 -4.616207 0.9983 -0.034078 0.134768 -0.078941 17.8711 26.3466 0.93801 0.000000 1.24757
14500 72.5000 -4.608243 1.0079 0.095667 -0.043432 -0.097761 17.8802 26.3334 0.86481 0.000000 1.24883
14750 73.7500 -4.590784 0.9844 0.077313 0.084470 -0.191350 17.8868 26.3137 0.82197 0.000000 1.24976
15000 75.0000 -4.611288 0.9918 0.034380 -0.200777 -0.152415 17.8866 26.2920 0.92368 0.000000 1.24974
15250 76.2500 -4.589578 0.9944 0.085880 0.048600 -0.025852 17.8912 26.2753 0.89707 0.000000 1.25037
15500 77.5000 -4.585069 0.9957 -0.022537 0.067890 0.085145 17.8974 26.2784 0.94652 0.000000 1.25123
