# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -2.596814 0.9931 -0.125819 -0.076815 -0.008381 14.0070 17.2600 0.81934 0.000000 1.36247
100 0.5000 -2.569884 0.9942 -0.042121 -0.112511 -0.073769 14.0061 17.2679 0.87174 0.000000 1.36231
200 1.0000 -2.547979 0.9835 -0.160814 0.173668 -0.001870 14.0053 17.2696 0.85881 0.000000 1.36215
300 1.5000 -2.567954 1.0031 0.148285 -0.046015 0.237357 14.0064 17.2718 0.85674 0.000000 1.36236
400 2.0000 -2.591281 1.0033 0.100982 -0.301168 -0.170099 14.0045 17.2786 0.82888 0.000000 1.36198
500 2.5000 -2.575508 0.9895 -0.209610 0.079181 -0.004907 13.9988 17.2796 0.88726 0.000000 1.36088
600 3.0000 -2.613419 0.9885 -0.073719 -0.171948 -0.111127 13.9965 17.2726 0.89038 0.000000 1.36043
700 3.5000 -2.597024 0.9709 0.178658 -0.046083 0.488833 13.9939 17.2775 0.86612 0.000000 1.35993
800 4.0000 -2.582642 0.9992 -0.069601 0.315680 -0.385003 13.9960 17.2737 0.87250 0.000000 1.36033
900 4.5000 -2.609831 0.9922 0.206089 -0.137343 0.064967 13.9950 17.2720 0.92644 0.000000 1.36013
1000 5.0000 -2.586758 0.9940 0.086023 -0.022634 -0.323917 13.9988 17.2753 0.94692 0.000000 1.36087
1100 5.5000 -2.592921 0.9862 -0.122082 -0.086459 -0.199607 13.9980 17.2766 0.91452 0.000000 1.36073
1200 6.0000 -2.559453 0.9766 0.060834 0.298212 -0.120371 13.9979 17.2757 0.91920 0.000000 1.36071
1300 6.5000 -2.586834 0.9863 0.081374 0.026484 0.053845 13.9966 17.2812 0.94473 0.000000 1.36044
1400 7.0000 -2.613114 1.0019 -0.293084 -0.061331 -0.047728 13.9959 17.2832 0.83638 0.000000 1.36031
1500 7.5000 -2.589333 0.9763 -0.182494 -0.135174 0.227237 13.9934 17.2805 0.87784 0.000000 1.35983
1600 8.0000 -2.563893 1.0189 0.031504 -0.050851 0.110790 13.9924 17.2857 0.85714 0.000000 1.35964
1700 8.5000 -2.564239 1.0242 0.268599 0.178802 0.167564 13.9998 17.2891 0.85040 0.000000 1.36106
1800 9.0000 -2.574360 0.9996 -0.017157 -0.063285 0.056344 14.0009 17.2922 0.87000 0.000000 1.36128
1900 9.5000 -2.560956 1.0145 -0.035246 0.124670 -0.094416 14.0002 17.2871 0.94759 0.000000 1.36114
2000 10.0000 -2.543759 1.0176 0.248077 -0.134325 0.202004 14.0031 17.2885 0.97384 0.000000 1.36171
2100 10.5000 -2.556138 1.0020 -0.087279 -0.042443 -0.365209 14.0018 17.2861 0.97231 0.000000 1.36146
2200 11.0000 -2.539361 1.0110 0.064634 0.024026 0.115391 13.9983 17.2914 0.94985 0.000000 1.36079
2300 11.5000 -2.551672 1.0091 0.120570 0.025404 -0.084463 14.0008 17.2931 0.90268 0.000000 1.36127
2400 12.0000 -2.546945 1.0196 0.055645 -0.024798 0.315110 14.0017 17.2974 0.88853 0.000000 1.36144
2500 12.5000 -2.578898 1.0015 0.107575 0.002238 -0.060309 14.0027 17.2996 0.85544 0.000000 1.36163
2600 13.0000 -2.561170 1.0083 0.133892 -0.119107 -0.213150 14.0028 17.2981 0.82486 0.000000 1.36165
2700 13.5000 -2.571706 0.9977 -0.083812 0.166335 -0.450577 14.0044 17.2958 0.84235 0.000000 1.36197
2800 14.0000 -2.570272 0.9996 -0.039905 0.103744 0.153613 14.0056 17.2917 0.82392 0.000000 1.36221
2900 14.5000 -2.577755 0.9949 -0.145555 -0.179590 0.050089 14.0015 17.2897 0.86502 0.000000 1.36140
3000 15.0000 -2.578166 1.0143 0.072320 0.014005 0.098028 13.9985 17.2905 0.79990 0.000000 1.36083
3100 15.5000 -2.567513 0.9963 0.206550 -0.029048 0.284486 14.0028 17.2967 0.82930 0.000000 1.36166
3200 16.0000 -2.582594 1.0024 0.073022 -0.080466 -0.217847 14.0022 17.2942 0.83523 0.000000 1.36153
3300 16.5000 -2.588970 0.9948 -0.221833 -0.091359 0.042839 14.0026 17.2993 0.87989 0.000000 1.36162
3400 17.0000 -2.563791 0.9943 0.113608 0.148881 0.016054 14.0009 17.2954 0.85551 0.000000 1.36129
3500 17.5000 -2.576989 0.9876 0.092513 -0.325976 -0.126802 14.0010 17.2927 0.85022 0.000000 1.36130
