# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -2.596814 0.9931 -0.125819 -0.076815 -0.008381 14.0070 17.2601 0.81934 0.000000 1.36247
100 0.5000 -2.568912 0.9939 -0.048949 -0.118138 -0.086009 14.0060 17.2725 0.87205 0.000000 1.36228
200 1.0000 -2.546084 0.9830 -0.169537 0.162068 -0.015535 14.0048 17.2793 0.85894 0.000000 1.36205
300 1.5000 -2.568480 1.0058 0.133511 -0.067105 0.177788 14.0054 17.2867 0.86909 0.000000 1.36216
400 2.0000 -2.557072 0.9864 0.178129 -0.134260 -0.120801 14.0032 17.2980 0.83181 0.000000 1.36174
500 2.5000 -2.602223 0.9976 -0.236265 0.120114 -0.142567 14.0015 17.3050 0.88506 0.000000 1.36140
600 3.0000 -2.581185 1.0037 -0.053299 -0.053450 -0.117644 13.9973 17.3076 0.89734 0.000000 1.36060
700 3.5000 -2.592146 0.9677 -0.131139 0.129439 0.071216 13.9943 17.3092 0.83736 0.000000 1.36001
800 4.0000 -2.616669 0.9879 -0.182381 -0.175863 0.170262 13.9878 17.3179 0.90461 0.000000 1.35873
900 4.5000 -2.613454 0.9905 -0.116497 0.240286 -0.417496 13.9852 17.3164 0.87603 0.000000 1.35823
1000 5.0000 -2.638458 0.9909 -0.104690 -0.345147 -0.324578 13.9801 17.3115 0.94474 0.000000 1.35724
1100 5.5000 -2.606394 1.0026 0.056116 -0.255150 -0.111069 13.9798 17.3133 0.94126 0.000000 1.35719
1200 6.0000 -2.596407 0.9913 -0.041819 -0.136514 -0.158341 13.9796 17.3215 0.89783 0.000000 1.35715
1300 6.5000 -2.606020 1.0126 0.059956 -0.234243 0.315993 13.9745 17.3280 0.93247 0.000000 1.35616
1400 7.0000 -2.583724 1.0044 -0.047585 -0.222842 -0.163106 13.9718 17.3364 0.88600 0.000000 1.35564
1500 7.5000 -2.565739 0.9964 0.194681 0.103984 -0.048971 13.9727 17.3410 0.88674 0.000000 1.35582
1600 8.0000 -2.586518 1.0022 -0.290794 0.132783 -0.223259 13.9745 17.3421 0.88160 0.000000 1.35615
1700 8.5000 -2.605148 0.9959 0.044979 -0.008742 -0.333537 13.9776 17.3391 0.84833 0.000000 1.35676
1800 9.0000 -2.556011 0.9887 0.123962 0.060402 0.200538 13.9776 17.3446 0.88064 0.000000 1.35675
1900 9.5000 -2.575896 0.9882 -0.075319 -0.166459 -0.129886 13.9784 17.3511 0.82916 0.000000 1.35692
2000 10.0000 -2.600879 1.0028 -0.299404 -0.037380 -0.151069 13.9771 17.3531 0.80344 0.000000 1.35667
2100 10.5000 -2.587306 1.0171 -0.075094 -0.105751 0.332830 13.9759 17.3642 0.81868 0.000000 1.35642
2200 11.0000 -2.576393 1.0123 -0.125017 -0.225579 0.033277 13.9716 17.3702 0.80238 0.000000 1.35560
2300 11.5000 -2.592083 1.0126 0.020128 0.026235 -0.370084 13.9708 17.3728 0.87732 0.000000 1.35543
2400 12.0000 -2.587502 1.0093 0.067488 0.070682 -0.456550 13.9716 17.3725 0.90231 0.000000 1.35560
2500 12.5000 -2.600945 1.0148 -0.101789 0.015154 -0.062942 13.9740 17.3776 0.84119 0.000000 1.35606
2600 13.0000 -2.580670 1.0036 -0.175421 -0.141384 0.011862 13.9690 17.3841 0.83307 0.000000 1.35510
2700 13.5000 -2.566535 1.0105 -0.090651 0.272055 -0.094453 13.9673 17.3900 0.93786 0.000000 1.35475
2800 14.0000 -2.550876 1.0127 0.386621 0.079826 0.036212 13.9704 17.3984 0.84906 0.000000 1.35536
2900 14.5000 -2.547671 0.9998 -0.078786 0.135513 -0.181704 13.9736 17.3981 0.84788 0.000000 1.35599
3000 15.0000 -2.572121 0.9945 -0.043875 0.002236 -0.354805 13.9697 17.3950 0.80351 0.000000 1.35522
3100 15.5000 -2.556091 0.9838 0.068363 0.061355 -0.087337 13.9675 17.4018 0.82663 0.000000 1.35481
3200 16.0000 -2.590311 1.0033 -0.264765 -0.163257 0.236859 13.9607 17.4078 0.87953 0.000000 1.35348
3300 16.5000 -2.598168 0.9911 -0.122416 -0.141253 -0.205974 13.9546 17.4187 0.87615 0.000000 1.35229
3400 17.0000 -2.581886 0.9864 -0.083759 -0.059105 -0.046974 13.9493 17.4264 0.90933 0.000000 1.35128
3500 17.5000 -2.604468 0.9781 -0.053318 -0.229703 -0.424952 13.9420 17.4276 0.87693 0.000000 1.34985
3600 18.0000 -2.589136 0.9975 0.121223 -0.383977 0.009146 13.9392 17.4310 0.84675 0.000000 1.34932
3700 18.5000 -2.573405 1.0090 -0.094431 0.253880 -0.145661 13.9398 17.4330 0.91612 0.000000 1.34943
3800 19.0000 -2.579992 1.0122 0.145958 0.110787 -0.018735 13.9424 17.4375 0.87256 0.000000 1.34994
3900 19.5000 -2.545575 0.9852 0.154640 0.151321 0.064021 13.9425 17.4384 0.86408 0.000000 1.34996
4000 20.0000 -2.583784 1.0039 -0.185504 0.109628 -0.077145 13.9462 17.4461 0.91289 0.000000 1.35067
4100 20.5000 -2.586263 1.0190 0.044750 -0.116976 0.207040 13.9455 17.4525 0.84526 0.000000 1.35054
4200 21.0000 -2.557760 1.0173 0.078556 -0.087957 0.012895 13.9466 17.4568 0.85400 0.000000 1.35076
4300 21.5000 -2.567761 0.9931 -0.001661 0.147810 -0.319017 13.9503 17.4571 0.80308 0.000000 1.35146
4400 22.0000 -2.582530 0.9859 -0.171425 0.040342 0.057979 13.9462 17.4578 0.83402 0.000000 1.35066
4500 22.5000 -2.607068 0.9738 -0.384744 -0.206284 -0.541173 13.9403 17.4597 0.80155 0.000000 1.34953
4600 23.0000 -2.582275 0.9977 0.017699 -0.021307 -0.123060 13.9355 17.4584 0.81050 0.000000 1.34861
4700 23.5000 -2.587886 1.0021 -0.202336 -0.156640 0.026749 13.9307 17.4604 0.82690 0.000000 1.34768
4800 24.0000 -2.587277 0.9796 -0.056669 -0.008733 -0.056005 13.9257 17.4615 0.87375 0.000000 1.34670
4900 24.5000 -2.568926 0.9958 -0.020996 0.189690 -0.273583 13.9251 17.4579 0.86867 0.000000 1.34658
5000 25.0000 -2.585424 1.0009 0.007936 -0.055670 -0.098236 13.9270 17.4592 0.96190 0.000000 1.34695
5100 25.5000 -2.593495 1.0142 -0.200168 0.132414 0.098222 13.9277 17.4706 0.85804 0.000000 1.34710
5200 26.0000 -2.595116 1.0024 -0.097034 -0.249655 0.006844 13.9268 17.4799 0.85699 0.000000 1.34692
