# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 4542095.549916 2.5264 10445917.640850 13481035.747812 18628975.181496 14.0072 17.2602 -0.16398 0.000000 1.36251
100 0.5000 279.170982 2.9921 -1159.492221 -3012.642136 -5272.600940 14.0035 17.2543 1.41458 0.000000 1.36180
200 1.0000 105.992011 2.7012 -19.944864 -312.433311 -924.260150 13.9974 17.2399 2.43928 0.000000 1.36060
300 1.5000 29.182054 2.3329 40.266975 -35.346833 67.708873 13.9982 17.2319 2.52766 0.000000 1.36077
400 2.0000 11.763166 2.1354 56.538500 53.095371 53.491737 14.0100 17.2414 2.81447 0.000000 1.36305
500 2.5000 8.746598 1.9965 50.027576 47.500285 47.398114 14.0240 17.2586 2.69092 0.000000 1.36578
600 3.0000 7.391567 1.9601 44.488633 43.665992 43.216021 14.0380 17.2759 2.91526 0.000000 1.36852
700 3.5000 6.384234 1.9181 41.179377 40.660608 39.143007 14.0521 17.2932 3.02109 0.000000 1.37126
800 4.0000 6.291109 1.9262 37.946095 39.913265 41.231170 14.0661 17.3105 3.07866 0.000000 1.37400
900 4.5000 5.888654 1.8543 27.555816 35.452491 37.245538 14.0802 17.3278 3.12726 0.000000 1.37675
1000 5.0000 5.271495 1.9011 35.286125 32.897454 35.603197 14.0943 17.3452 3.35959 0.000000 1.37951
1100 5.5000 5.114927 1.8567 33.258511 32.371553 35.259872 14.1084 17.3625 3.41717 0.000000 1.38227
1200 6.0000 5.167831 1.8516 33.996891 31.960593 34.451768 14.1225 17.3799 3.01373 0.000000 1.38504
1300 6.5000 5.148996 1.8962 33.751696 33.317433 34.866701 14.1366 17.3973 3.08116 0.000000 1.38781
1400 7.0000 4.812838 1.8848 29.499913 31.669935 25.055071 14.1508 17.4147 2.99746 0.000000 1.39059
1500 7.5000 4.677302 2.0229 31.170699 29.457197 32.792959 14.1649 17.4321 2.70986 0.000000 1.39337
