# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -2.596460 1.0062 -0.069094 -0.058236 -0.042885 14.0070 17.2600 0.81902 0.816273 1.36248
100 0.5000 -2.452364 0.9972 0.313427 0.316659 0.392925 14.0197 17.2769 0.88464 -19.928938 1.36494
200 1.0000 -2.408515 0.9978 0.489481 0.394023 0.335565 14.0318 17.2900 0.87615 9.501443 1.36729
300 1.5000 -2.365228 1.0474 0.365481 0.536601 0.269309 14.0457 17.3073 0.95905 -68.572423 1.37001
400 2.0000 -2.331471 1.0366 0.137201 0.248812 0.579345 14.0594 17.3235 1.01250 -33.608692 1.37269
500 2.5000 -2.355708 1.0167 0.472976 -0.005696 0.309249 14.0728 17.3393 0.96782 -40.313658 1.37531
600 3.0000 -2.406039 1.0307 -0.188683 0.154652 0.412695 14.0768 17.3464 1.00478 -9.685336 1.37609
700 3.5000 -2.449240 1.0270 0.005018 -0.204318 -0.258501 14.0777 17.3469 0.96130 0.948334 1.37625
800 4.0000 -2.456289 1.0031 -0.191924 -0.116451 -0.009137 14.0740 17.3385 0.99278 -8.205567 1.37554
900 4.5000 -2.488533 1.0160 -0.001917 -0.230949 -0.608093 14.0663 17.3335 0.98782 -23.865448 1.37403
1000 5.0000 -2.493411 1.0203 -0.263699 -0.073819 -0.290626 14.0615 17.3300 0.96416 6.243650 1.37310
1100 5.5000 -2.455870 1.0219 -0.012107 -0.295649 0.276749 14.0582 17.3225 0.92663 -19.202997 1.37246
1200 6.0000 -2.455594 1.0062 -0.188820 0.047168 -0.074245 14.0597 17.3219 0.90870 -12.037921 1.37274
1300 6.5000 -2.490469 1.0153 -0.162133 -0.240904 -0.036472 14.0530 17.3205 0.89250 13.012390 1.37144
1400 7.0000 -2.476818 1.0182 0.104827 -0.185607 -0.187255 14.0522 17.3245 0.94453 16.914875 1.37127
1500 7.5000 -2.468216 1.0207 0.145427 0.250229 0.081877 14.0533 17.3231 0.93234 14.144734 1.37149
1600 8.0000 -2.485769 1.0084 -0.177725 -0.042857 -0.046683 14.0548 17.3196 0.89859 -18.135649 1.37179
1700 8.5000 -2.504138 1.0002 0.049714 -0.077688 0.385335 14.0518 17.3224 0.96560 41.386717 1.37121
1800 9.0000 -2.493195 0.9964 0.190155 -0.137730 -0.280168 14.0461 17.3192 1.01450 15.217476 1.37009
1900 9.5000 -2.477747 0.9976 0.048994 -0.047428 0.118107 14.0506 17.3146 1.00507 4.463517 1.37097
2000 10.0000 -2.519885 1.0181 -0.182763 -0.023242 -0.215307 14.0475 17.3082 0.99919 3.896776 1.37036
2100 10.5000 -2.520234 1.0115 -0.251461 -0.016450 0.041531 14.0450 17.2993 0.97175 -15.513814 1.36987
2200 11.0000 -2.540698 0.9824 -0.202147 0.019257 0.287046 14.0375 17.2945 0.98396 -9.111961 1.36842
2300 11.5000 -2.527559 1.0065 0.030704 0.177898 0.097111 14.0356 17.2894 1.00394 -38.781222 1.36805
2400 12.0000 -2.544295 1.0068 -0.300799 -0.066745 -0.279388 14.0374 17.2841 0.96888 -21.219911 1.36840
2500 12.5000 -2.551386 1.0148 0.009472 -0.042913 -0.187945 14.0353 17.2778 0.96249 -35.119955 1.36798
2600 13.0000 -2.527921 1.0027 0.128168 -0.038892 -0.057465 14.0334 17.2692 0.88615 -3.380647 1.36761
2700 13.5000 -2.518189 1.0102 -0.037832 0.146621 -0.123636 14.0350 17.2748 0.88435 -2.573884 1.36792
2800 14.0000 -2.530955 1.0172 -0.037784 0.205725 -0.162123 14.0346 17.2634 0.88567 -2.440433 1.36784
2900 14.5000 -2.541838 1.0146 -0.014056 -0.294999 -0.175029 14.0360 17.2614 0.89897 9.996922 1.36812
3000 15.0000 -2.572838 0.9870 -0.331818 -0.152945 -0.029971 14.0305 17.2594 0.90500 -28.328139 1.36705
3100 15.5000 -2.539077 0.9659 0.112398 0.086341 -0.116793 14.0282 17.2556 0.95434 -22.879928 1.36661
3200 16.0000 -2.551725 1.0048 -0.082290 -0.072521 -0.000112 14.0299 17.2483 0.93880 0.603637 1.36693
3300 16.5000 -2.566229 0.9929 0.074653 -0.162151 -0.269640 14.0270 17.2475 0.88290 0.440167 1.36636
3400 17.0000 -2.564008 0.9872 -0.079472 -0.362501 0.073733 14.0262 17.2466 0.85779 2.783098 1.36621
3500 17.5000 -2.551220 0.9848 0.173550 0.349754 0.408677 14.0254 17.2395 0.82530 19.663305 1.36605
3600 18.0000 -2.542526 1.0053 0.069179 0.104358 0.375327 14.0234 17.2468 0.83477 28.856535 1.36567
3700 18.5000 -2.563729 0.9980 0.044010 -0.039345 0.220446 14.0243 17.2535 0.89569 -7.730677 1.36584
