# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -1.189390 0.9786 -0.092721 -0.161395 -0.124246 14.0070 17.2600 0.81845 3599.381482 1.36247
100 0.5000 -1.541179 1.1197 0.891220 0.801529 1.004251 14.0140 17.2717 1.39907 2691.990472 1.36383
200 1.0000 -1.868912 1.1255 2.702436 2.669985 3.827785 14.0280 17.2889 2.17010 1641.722339 1.36656
300 1.5000 -2.042160 1.1391 4.100235 4.336852 4.738763 14.0420 17.3062 2.75760 977.972249 1.36930
400 2.0000 -2.144752 1.1154 3.632839 4.090971 4.341252 14.0561 17.3236 2.93851 828.079197 1.37204
500 2.5000 -2.143243 1.0877 3.173499 3.076619 3.021143 14.0702 17.3409 2.67669 1020.618127 1.37479
600 3.0000 -2.333135 1.0937 1.844310 2.003384 2.524927 14.0842 17.3582 2.54591 1131.178731 1.37754
700 3.5000 -2.373445 1.0475 1.459043 1.713136 2.170590 14.0983 17.3756 2.63533 1060.011543 1.38030
800 4.0000 -2.420105 1.0301 1.740435 1.884862 2.558758 14.1124 17.3930 2.83204 939.258793 1.38306
900 4.5000 -2.447192 1.0378 1.747450 1.764368 2.329571 14.1265 17.4104 2.94184 837.810357 1.38583
1000 5.0000 -2.447457 1.0292 1.978655 1.718667 1.853576 14.1407 17.4278 2.94870 782.436375 1.38860
1100 5.5000 -2.462517 1.0065 1.827079 1.478627 1.990204 14.1548 17.4452 3.04046 770.164361 1.39138
1200 6.0000 -2.476769 0.9793 1.448530 1.521103 1.741167 14.1690 17.4627 3.10840 772.032706 1.39417
1300 6.5000 -2.514604 1.0193 1.302863 1.401884 1.657960 14.1832 17.4802 3.15236 714.552118 1.39696
1400 7.0000 -2.491908 1.0018 1.592509 1.518223 1.689417 14.1974 17.4977 3.17801 673.494207 1.39976
1500 7.5000 -2.496211 0.9843 1.245013 1.282737 1.549658 14.2116 17.5152 3.09659 681.791216 1.40256
1600 8.0000 -2.465117 0.9791 1.041784 1.439012 1.196834 14.2258 17.5327 3.11016 746.700451 1.40537
1700 8.5000 -2.454820 0.9852 1.247812 1.236435 1.286169 14.2400 17.5502 3.14896 722.206679 1.40818
1800 9.0000 -2.480588 1.0011 0.880967 1.206791 1.710868 14.2543 17.5678 3.20457 686.468223 1.41100
1900 9.5000 -2.450013 0.9945 1.258105 1.111244 1.554857 14.2685 17.5854 3.26681 644.829901 1.41382
2000 10.0000 -2.443984 1.0092 0.902137 1.314485 1.551485 14.2828 17.6030 3.28694 653.986093 1.41665
2100 10.5000 -2.430066 0.9839 1.188328 0.779214 1.333320 14.2971 17.6206 3.26067 627.754100 1.41949
2200 11.0000 -2.424948 0.9875 0.898789 1.019767 1.298954 14.3114 17.6382 3.27488 615.906384 1.42233
