# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
5200 26.0000 -2.565934 0.9981 0.000888 0.121624 0.151425 14.0212 17.1853 0.81525 187.863825 1.36524
5300 26.5000 -2.592429 1.0181 -0.029940 0.074283 -0.156287 14.0226 17.1945 0.83562 120.132489 1.36550
5400 27.0000 -2.609319 1.0217 -0.175532 -0.199615 -0.451041 14.0259 17.1992 0.80952 146.283662 1.36614
5500 27.5000 -2.603462 0.9922 -0.201121 -0.037209 -0.110275 14.0237 17.1947 0.81968 126.409080 1.36572
5600 28.0000 -2.586697 0.9902 0.065619 0.175192 -0.229362 14.0242 17.1872 0.84557 184.768076 1.36583
5700 28.5000 -2.573977 0.9986 0.007883 -0.036066 0.057907 14.0262 17.1948 0.90070 173.418979 1.36620
5800 29.0000 -2.577689 0.9854 -0.245584 0.140193 0.174374 14.0249 17.1953 0.83061 186.074739 1.36596
5900 29.5000 -2.586463 1.0089 -0.097835 0.245286 0.061684 14.0220 17.1999 0.84936 143.474312 1.36540
6000 30.0000 -2.594765 1.0077 0.091354 0.202124 0.069634 14.0216 17.2005 0.84155 173.860706 1.36531
6100 30.5000 -2.584047 0.9841 0.094738 0.052178 0.131761 14.0238 17.1968 0.77095 162.821303 1.36574
6200 31.0000 -2.608585 1.0027 -0.073595 0.055460 -0.189734 14.0222 17.1881 0.80731 153.904262 1.36542
6300 31.5000 -2.620126 1.0183 -0.051656 -0.061840 0.333367 14.0166 17.1850 0.78206 165.484422 1.36434
6400 32.0000 -2.615061 0.9855 -0.038333 -0.007931 -0.233341 14.0136 17.1874 0.84655 145.682367 1.36375
6500 32.5000 -2.626800 0.9870 -0.098971 -0.065586 -0.139045 14.0115 17.1831 0.89903 150.630515 1.36335
6600 33.0000 -2.659967 0.9822 -0.069549 -0.326710 0.067516 14.0092 17.1766 0.88520 128.256357 1.36290
6700 33.5000 -2.640815 1.0074 0.014314 0.004884 -0.097580 14.0074 17.1723 0.94806 181.365463 1.36255
6800 34.0000 -2.631727 1.0066 -0.008244 0.144950 0.120812 14.0074 17.1745 0.97570 166.982608 1.36255
6900 34.5000 -2.624476 0.9805 -0.065085 -0.097710 0.156416 14.0050 17.1731 0.89450 150.149900 1.36208
7000 35.0000 -2.620836 0.9990 0.086341 0.030032 0.320568 14.0046 17.1769 0.84612 147.758939 1.36201
7100 35.5000 -2.614213 0.9913 0.103014 0.107074 -0.039698 14.0046 17.1846 0.82909 174.712898 1.36201
7200 36.0000 -2.614887 0.9729 -0.058849 0.121075 0.254364 14.0004 17.1875 0.83597 151.153482 1.36118
7300 36.5000 -2.610602 0.9907 -0.140734 -0.020459 -0.401966 14.0020 17.1881 0.81235 127.967161 1.36150
7400 37.0000 -2.619690 0.9903 0.191106 -0.182320 -0.072124 14.0002 17.1816 0.86152 126.265147 1.36116
7500 37.5000 -2.627326 1.0035 0.054973 -0.042871 0.157835 14.0016 17.1823 0.86187 127.103329 1.36142
7600 38.0000 -2.638903 1.0251 0.200058 -0.002318 0.277937 14.0050 17.1868 0.96505 122.419445 1.36208
7700 38.5000 -2.626596 1.0027 0.054002 0.073648 -0.037044 14.0090 17.1897 0.87153 116.043570 1.36286
7800 39.0000 -2.603597 1.0001 -0.213314 0.098188 0.020966 14.0101 17.1927 0.94311 117.138260 1.36307
