# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -2.575202 0.9761 -0.110794 -0.144274 0.032383 14.0070 17.2601 0.82193 449.878890 1.36247
100 0.5000 -2.442235 0.9930 0.256428 0.278061 0.190304 14.0143 17.2742 0.89288 332.886181 1.36389
200 1.0000 -2.440828 0.9926 0.374385 0.261317 0.115517 14.0269 17.2860 0.97551 290.843338 1.36635
300 1.5000 -2.433151 0.9994 0.259013 0.173471 0.452622 14.0380 17.3008 0.98249 283.809544 1.36851
400 2.0000 -2.409899 1.0103 0.077282 0.061400 0.154162 14.0505 17.3066 1.02617 242.586287 1.37095
500 2.5000 -2.344402 1.0249 0.475961 0.742424 0.256624 14.0621 17.3141 0.94177 256.776905 1.37322
600 3.0000 -2.443943 1.0306 0.060598 -0.050233 0.347193 14.0719 17.3181 0.90315 241.191317 1.37513
700 3.5000 -2.437618 1.0155 0.119841 0.168000 -0.348329 14.0752 17.3106 0.94086 286.603553 1.37577
800 4.0000 -2.462901 1.0357 -0.124863 0.068035 -0.250077 14.0772 17.3026 0.87975 281.814114 1.37617
900 4.5000 -2.476020 1.0262 -0.234175 0.191094 0.015683 14.0769 17.2947 0.89006 283.981601 1.37610
1000 5.0000 -2.518759 1.0063 -0.179851 -0.071166 -0.341082 14.0702 17.2828 0.88285 287.874188 1.37480
1100 5.5000 -2.542961 1.0094 -0.363726 -0.349894 -0.085484 14.0620 17.2715 0.90863 302.563935 1.37319
1200 6.0000 -2.530479 0.9839 -0.119610 -0.312521 -0.333501 14.0526 17.2619 0.89639 265.803883 1.37135
1300 6.5000 -2.536291 0.9713 -0.162607 -0.258529 -0.298560 14.0482 17.2511 0.92530 275.465704 1.37049
1400 7.0000 -2.544244 0.9746 0.089853 -0.203212 0.011623 14.0411 17.2436 0.92527 284.682858 1.36912
1500 7.5000 -2.542869 0.9956 -0.054553 0.012864 -0.019445 14.0370 17.2346 0.93923 296.495736 1.36832
1600 8.0000 -2.558844 0.9993 -0.193583 -0.033477 0.076132 14.0306 17.2267 0.97335 283.926050 1.36706
1700 8.5000 -2.553277 1.0206 -0.042309 0.203239 -0.051469 14.0285 17.2272 0.97226 273.158076 1.36666
1800 9.0000 -2.555701 1.0088 -0.006321 0.209503 -0.145845 14.0304 17.2224 1.00396 273.538899 1.36702
1900 9.5000 -2.555079 0.9847 -0.014899 -0.148352 -0.245976 14.0276 17.2279 0.92744 337.600804 1.36649
2000 10.0000 -2.590375 1.0081 -0.229045 -0.164778 -0.023549 14.0227 17.2196 0.92891 336.469662 1.36554
2100 10.5000 -2.566407 0.9671 -0.011937 -0.101715 -0.077309 14.0175 17.2201 0.90196 314.120110 1.36451
2200 11.0000 -2.559874 0.9833 0.102305 0.176582 0.449181 14.0178 17.2161 0.95929 299.149788 1.36457
2300 11.5000 -2.603375 1.0276 0.038097 -0.250268 -0.026877 14.0191 17.2142 0.89501 313.821319 1.36483
2400 12.0000 -2.588165 1.0149 -0.101375 0.135241 -0.343069 14.0171 17.2109 0.89680 335.351923 1.36444
2500 12.5000 -2.575082 1.0056 0.023015 0.063991 -0.224042 14.0159 17.2051 0.88989 333.874983 1.36421
2600 13.0000 -2.584386 1.0226 -0.381857 0.305048 0.048103 14.0163 17.1996 0.85020 311.960188 1.36428
2700 13.5000 -2.560395 1.0143 -0.011584 0.271462 0.095954 14.0206 17.2008 0.93392 278.148887 1.36512
2800 14.0000 -2.541730 1.0002 -0.170138 0.111303 -0.078512 14.0237 17.2019 0.87786 284.333563 1.36572
2900 14.5000 -2.565176 1.0300 -0.134969 -0.073735 0.297787 14.0275 17.2075 0.90547 274.570018 1.36647
