# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -2.444344 0.9882 -0.097458 -0.162566 -0.066957 14.0070 17.2600 0.82291 1200.169984 1.36247
100 0.5000 -2.357966 0.9881 0.521147 0.271039 0.334362 14.0123 17.2697 1.02464 949.477127 1.36350
200 1.0000 -2.371192 1.0217 0.501870 0.203606 0.064152 14.0251 17.2800 1.09054 749.701223 1.36599
300 1.5000 -2.339203 1.0350 0.567084 0.354114 0.326278 14.0385 17.2888 1.22804 706.585593 1.36861
400 2.0000 -2.329566 1.0475 0.516031 0.151571 0.439711 14.0518 17.3042 1.16226 709.184366 1.37120
500 2.5000 -2.262038 1.0126 0.650834 0.472650 -0.019925 14.0657 17.3164 1.15818 793.420959 1.37392
600 3.0000 -2.413645 1.0414 -0.117334 -0.306936 -0.319928 14.0685 17.3039 1.15470 771.063452 1.37446
700 3.5000 -2.433669 1.0155 -0.233978 -0.266909 -0.200406 14.0639 17.2966 1.15222 720.511352 1.37357
800 4.0000 -2.436292 1.0225 -0.007709 -0.122681 -0.142025 14.0555 17.2870 1.14266 767.831515 1.37191
900 4.5000 -2.430902 1.0083 -0.226165 -0.080687 -0.346184 14.0505 17.2785 1.00995 761.560266 1.37095
1000 5.0000 -2.462302 0.9962 -0.103124 -0.178286 -0.370614 14.0445 17.2643 1.04967 712.264262 1.36978
1100 5.5000 -2.482620 1.0089 -0.092962 0.151539 -0.552373 14.0430 17.2559 1.05581 734.203511 1.36949
1200 6.0000 -2.492067 1.0158 0.049004 0.135100 -0.069731 14.0404 17.2450 1.09950 738.408416 1.36898
1300 6.5000 -2.479521 0.9701 0.054182 0.187419 -0.279206 14.0394 17.2325 1.10830 758.305756 1.36877
1400 7.0000 -2.505414 1.0094 -0.143752 -0.006128 -0.492428 14.0388 17.2221 1.09774 734.573675 1.36866
1500 7.5000 -2.510988 0.9844 0.060764 -0.179817 -0.247882 14.0373 17.2091 1.18793 714.179270 1.36838
1600 8.0000 -2.518047 0.9642 0.179223 -0.339304 0.078335 14.0340 17.1945 1.16311 696.042866 1.36772
1700 8.5000 -2.507613 0.9781 -0.108897 -0.031029 -0.018559 14.0304 17.1903 1.10989 680.275313 1.36703
1800 9.0000 -2.517856 0.9963 0.151121 -0.176005 -0.163022 14.0287 17.1818 1.14408 710.284445 1.36669
1900 9.5000 -2.516698 0.9876 0.012640 0.108842 0.010819 14.0275 17.1765 1.11523 751.199037 1.36647
2000 10.0000 -2.544756 1.0020 -0.072002 0.101820 -0.057676 14.0310 17.1677 1.04820 728.723254 1.36715
2100 10.5000 -2.513978 0.9962 -0.015390 0.053673 -0.211565 14.0315 17.1626 1.10627 727.395689 1.36724
2200 11.0000 -2.516541 1.0054 -0.083186 0.046054 -0.203337 14.0347 17.1612 1.13666 673.637711 1.36787
2300 11.5000 -2.533625 1.0232 0.053222 -0.079617 0.085835 14.0358 17.1639 1.16711 722.566120 1.36808
