# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -2.539413 0.9910 -0.100384 -0.140294 -0.032499 14.0070 17.2600 0.82045 749.915077 1.36247
100 0.5000 -2.455225 0.9932 -0.024953 0.010050 0.322542 14.0113 17.2668 0.96980 591.199019 1.36331
200 1.0000 -2.381354 1.0013 0.384407 0.300397 0.965439 14.0213 17.2791 1.08962 494.557311 1.36526
300 1.5000 -2.382996 0.9994 0.302012 0.466765 0.483509 14.0340 17.2911 1.15826 457.446532 1.36772
400 2.0000 -2.341132 1.0077 0.386189 0.028419 0.549608 14.0454 17.3059 1.22014 416.012814 1.36996
500 2.5000 -2.340079 1.0460 0.387179 0.264256 0.511658 14.0584 17.3202 1.18198 443.410124 1.37249
600 3.0000 -2.411257 1.0644 0.200437 0.118566 -0.028321 14.0611 17.3190 1.15921 425.008063 1.37302
700 3.5000 -2.415762 1.0264 0.112717 -0.080666 0.090976 14.0607 17.3124 1.08946 476.189147 1.37293
800 4.0000 -2.436475 1.0108 -0.020958 -0.140971 0.229650 14.0574 17.3039 1.13240 403.547293 1.37230
900 4.5000 -2.464767 1.0008 -0.075303 -0.161224 -0.281951 14.0513 17.2905 1.14874 390.341687 1.37111
1000 5.0000 -2.521943 1.0011 -0.304829 -0.211637 -0.172505 14.0457 17.2794 1.03771 470.843988 1.37002
1100 5.5000 -2.501304 1.0014 -0.045197 -0.088530 -0.278506 14.0388 17.2649 1.08122 425.709849 1.36867
1200 6.0000 -2.534795 1.0021 -0.075856 -0.220356 -0.101147 14.0344 17.2546 1.02135 422.210607 1.36781
1300 6.5000 -2.510600 0.9922 0.092164 -0.164081 0.191831 14.0291 17.2467 1.06273 456.625426 1.36678
1400 7.0000 -2.538504 1.0296 -0.039459 -0.119665 0.041808 14.0239 17.2458 1.09557 435.730428 1.36577
1500 7.5000 -2.513203 1.0047 0.044750 -0.078514 0.528475 14.0200 17.2476 1.01105 482.586807 1.36500
1600 8.0000 -2.562586 1.0181 -0.439923 0.023287 0.000513 14.0161 17.2501 0.98957 505.188274 1.36424
1700 8.5000 -2.576762 1.0066 -0.226859 -0.217010 0.093843 14.0152 17.2464 1.05156 421.869287 1.36406
1800 9.0000 -2.558526 0.9960 0.014005 -0.145681 -0.203495 14.0116 17.2321 0.99003 433.468225 1.36337
1900 9.5000 -2.556657 0.9959 0.051547 0.196527 -0.178050 14.0104 17.2277 0.97581 451.122857 1.36314
2000 10.0000 -2.547292 0.9903 -0.035150 -0.039731 -0.042911 14.0151 17.2138 0.96630 453.655031 1.36405
2100 10.5000 -2.564886 0.9815 -0.019980 -0.237602 -0.280452 14.0136 17.2018 0.99455 473.732240 1.36375
2200 11.0000 -2.616971 0.9870 -0.251401 -0.171531 -0.279479 14.0078 17.1903 0.93763 509.055392 1.36262
2300 11.5000 -2.641558 0.9983 -0.050279 -0.273748 -0.607756 13.9991 17.1784 0.96219 419.558334 1.36094
2400 12.0000 -2.601036 0.9549 -0.013492 0.131397 0.169234 13.9936 17.1660 0.89273 476.518182 1.35987
2500 12.5000 -2.609375 0.9746 0.012979 0.080486 0.165848 13.9930 17.1657 0.92976 446.611227 1.35975
2600 13.0000 -2.647504 0.9772 -0.393234 -0.095186 -0.104935 13.9910 17.1612 0.82753 449.758135 1.35936
2700 13.5000 -2.645052 0.9596 -0.144453 -0.157758 -0.111357 13.9855 17.1592 0.93198 421.056140 1.35829
2800 14.0000 -2.652808 0.9820 -0.172184 0.256189 0.066907 13.9841 17.1535 0.91599 433.247622 1.35802
2900 14.5000 -2.632023 1.0034 0.432540 -0.125098 -0.224013 13.9893 17.1479 0.95554 439.893485 1.35902
